place_name,place_info,corpus,"coordinates (y, x)",query,
벤치10,공대(공과대학) 7호관 정문 벤치,"공대(공과대학) 7호관 정문 옆에 있는 정자 주변에는 담배를 피우는 학생들이 많아요.
공대(공과대학) 7호관 정문 옆에는 정자와 벤치가 있습니다.
공대(공과대학) 7호관 정문 옆 정자는 근처에 흡연부스와 철봉이 있습니다.
공대(공과대학) 7호관 정문 옆 벤치는 행사나 모임을 위해 집결하는 장소로도 사용됩니다.","35.8463, 127.1337","공대 7호관 정문 옆 정자 주변으로 배달해 주실 수 있나요?
공대 7호관 정문 옆에 있는 정자와 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 7호관 정문 옆 정자 근처 흡연부스로 음식을 배달 부탁드립니다.
공대 7호관 정문 옆 벤치에서 모임을 위해 손님을 기다릴게요 이곳으로 오시면 됩니다.
공대 7호관 정문 옆 정자로 오실 때, 주변 흡연부스와 철봉을 참고하세요 그곳에서 만나요.
공대 7호관 정문 옆 정자에서 담배를 피우는 학생들 근처에 있는 벤치에서 기다리고 있을게요 여기로 배달 부탁드립니다.
공대 7호관 정문 옆 정자에서 친구를 만나려 합니다 여기로 오실 수 있나요?
공대 7호관 정문 옆 벤치 근처로 배달 부탁드립니다 정확한 위치는 정문 바로 옆입니다.
공대 7호관 정문 옆 정자에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 7호관 정문 옆 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치11,공대(공과대학) 7호관 후문 벤치,"공대(공과대학) 7호관 후문에 위치한 벤치는 학생들이 휴식을 취하는 장소로 사용됩니다.
공대(공과대학) 7호관 후문 벤치 공대(공과대학) 7호관 후문 계단 앞에 위치해 있어요.
공대(공과대학) 7호관 후문에는 벤치가 여러 개 있습니다.
공대(공과대학) 7호관에서 사대부고로 이동하는 학생들은 후문에 있는 벤치를 자주 지나갑니다.","35.845814, 127.134563","공대 7호관 후문에 위치한 벤치로 배달해 주실 수 있나요?
공대 7호관 후문 계단 앞에 있는 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
공대 7호관 후문에 있는 여러 벤치 중 하나로 음식을 배달 부탁드립니다.
사대부고로 이동하는 길에 공대 7호관 후문 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
공대 7호관 후문 벤치로 오실 때, 후문 계단을 참고하세요 그곳에서 만나요.
공대 7호관 후문 벤치에서 휴식을 취하는 학생들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
공대 7호관 후문 계단 앞 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
공대 7호관 후문 벤치 근처로 배달 부탁드립니다 정확한 위치는 후문 바로 앞입니다.
공대 7호관 후문 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 공대 7호관 후문에 있는 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치13,자연대(자연과학대학) 본관 벤치,"자연대(자연과학대학) 본관 옆에 위치한 벤치는 도로변과 가까워요.
자연대(자연과학대학) 본관 벤치는 담배를 피우는 사람들이 자주 이용합니다.
자연대(자연과학대학) 본관 벤치 건너편에는 자연대(자연과학대학) 3호관이 있습니다.
자연대(자연과학대학) 본관과 자연대(자연과학대학 3호관에서 수업을 학생들은 자연대(자연과학대학) 본관 옆 벤치에서 잠시 휴식을 취하고는 합니다.","35.8473, 127.1301","자연대 본관 옆, 도로변에 가까운 벤치로 배달해 주실 수 있나요?
자연대 본관 벤치에서 흡연하는 사람들 근처에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 본관 벤치 건너편, 자연대 3호관 앞으로 음식을 배달 부탁드립니다.
자연대 본관과 3호관 사이 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 본관 벤치로 오실 때, 도로변을 참고하세요 그곳에서 만나요.
자연대 본관 옆 벤치에서 잠시 휴식을 취하는 학생들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 본관 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 본관 벤치 근처로 배달 부탁드립니다 정확한 위치는 자연대 본관 바로 옆입니다.
자연대 본관 벤치에서 손님을 맞이하겠습니다.
자연대 본관 벤치에 물건을 두시길 바랍니다.",
벤치13,자연대(자연과학대학) 본관 정자,"자연대(자연과학대학) 본관 옆에 위치한 정자는 도로변과 가까워요.
자연대(자연과학대학) 본관 정자는 담배를 피우는 사람들이 자주 이용합니다.
자연대(자연과학대학) 본관 정자 건너편에는 자연대(자연과학대학) 3호관이 있습니다.
자연대(자연과학대학) 본관과 자연대(자연과학대학 3호관에서 수업을 학생들은 자연대(자연과학대학) 본관 옆 정자에서 잠시 휴식을 취하고는 합니다.","35.8473, 127.1301","자연대 본관 옆, 도로변에 가까운 정자로 배달해 주실 수 있나요?
자연대 본관 정자에서 흡연하는 사람들 근처에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 본관 정자 건너편, 자연대 3호관 앞으로 음식을 배달 부탁드립니다.
자연대 본관과 3호관 사이 정자에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 본관 정자로 오실 때, 도로변을 참고하세요 그곳에서 만나요.
자연대 본관 옆 정자에서 잠시 휴식을 취하는 학생들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 본관 정자에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 본관 정자 근처로 배달 부탁드립니다 정확한 위치는 자연대 본관 바로 옆입니다.
자연대 본관 정자에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 본관 옆에 있는 정자로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치14,자연대(자연과학대학) 1호관 벤치 (헌혈의 집 앞),"지연대(자연과학대학) 1호관 앞 잔디밭에는 벤치가 있습니다.
헌혈의 집과 가장 가까운 벤치는 자연대(자연과학대학) 1호관 앞에 있습니다.
자연대(자연과학대학) 1호관 앞 벤치는 나무에 둘러싸여 있습니다.
자연대(자연과학대학) 1호관 앞 벤치 옆에는 교직원전용 주차장이 있어요.","35.845521, 127.127653","자연대 1호관 앞 잔디밭에 있는 벤치로 배달해 주실 수 있나요?
헌혈의 집과 가장 가까운 벤치, 자연대 1호관 앞에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 1호관 앞 나무에 둘러싸인 벤치로 음식을 배달 부탁드립니다.
자연대 1호관 앞 벤치 옆 교직원전용 주차장에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 1호관 앞 벤치로 오실 때, 근처 나무들을 참고하세요 그곳에서 만나요.
자연대 1호관 앞 벤치에서 잠시 쉬고 있는 학생들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 1호관 앞 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 1호관 앞 벤치 근처로 배달 부탁드립니다 정확한 위치는 잔디밭 바로 앞입니다.
자연대 1호관 앞 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 1호관 앞에 있는 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치15,자연대(자연과학대학) 2호관 벤치,"자연대(자연과학대학) 2호관 앞 잔디밭에는 벤치가 있습니다.
자연대(자연과학대학) 2호관 앞 벤치는 교직원 전용 주차장 옆에 있습니다.
자연대(자연과학대학) 2호관 앞 벤치는 도로변과 가깝습니다.
자연대(자연과학대학) 2호관 앞 벤치 건너편에는 비석이 있습니다.","35.845387, 127.128672","자연대 2호관 앞 잔디밭에 있는 벤치로 배달해 주실 수 있나요?
자연대 2호관 앞 교직원 전용 주차장 옆 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 2호관 앞 도로변과 가까운 벤치로 음식을 배달 부탁드립니다.
자연대 2호관 앞 벤치 건너편 비석 근처에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 2호관 앞 벤치로 오실 때, 교직원 전용 주차장을 참고하세요 그곳에서 만나요.
자연대 2호관 앞 벤치에서 잠시 쉬고 있는 학생들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 2호관 앞 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 2호관 앞 벤치 근처로 배달 부탁드립니다 정확한 위치는 도로변 바로 옆입니다.
자연대 2호관 앞 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 2호관 앞에 있는 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치16,자연대(자연과학대학) 3호관 벤치,"자연대(자연과학대학) 3호관 벤치는 자주 이용되지는 않습니다.
자연대(자연과학대학) 3호관 앞 벤치는 자연대(자연과학대학) 3호관 지름길 옆에 있습니다.
자연대(자연과학대학) 3호관 벤치 옆에는 게시판이 있습니다.
자연대(자연과학대학) 3호관을 마주보고 오른쪽에는 벤치가 줄지어 있습니다.","35.846927, 127.130609","자연대 3호관 앞에 자주 이용되지 않는 벤치로 배달해 주실 수 있나요?
자연대 3호관 지름길 옆에 있는 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 3호관 벤치 옆 게시판 근처로 음식을 배달 부탁드립니다.
자연대 3호관을 마주보고 오른쪽에 줄지어 있는 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 3호관 앞 벤치로 오실 때, 주변 게시판을 참고하세요 그곳에서 만나요.
자연대 3호관 앞 벤치에서 잠시 쉬고 있는 사람들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 3호관 앞 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 3호관 앞 벤치에 있겠습니다.
자연대 3호관 앞 벤치 근처에 있습니다.",
벤치17,자연대(자연과학대학) 3호관 정자와 함께있는 벤치,"자연대(자연과학대학) 3호관 옆에는 정자가 있습니다.
자연대(자연과학대학) 3호관 정자는 큰길과 인접해 있어요.
자연대(자연과학대학) 3호관 정자 뒤편에는 자전거 주차장이 있습니다.
자연대(자연과학대학) 3호관을 정면으로 바라보면 왼쪽 편에는 정자가 있습니다.","35.846927, 127.130145","자연대 3호관 옆에 있는 정자로 배달해 주실 수 있나요?
자연대 3호관 정자, 큰길과 인접한 곳에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 3호관 정자 뒤편 자전거 주차장 근처로 음식을 배달 부탁드립니다.
자연대 3호관을 정면으로 바라보고 왼쪽 편 정자에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 3호관 옆 정자로 오실 때, 주변 큰길을 참고하세요 그곳에서 만나요.
자연대 3호관 옆 정자에서 잠시 쉬고 있는 사람들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 3호관 정자에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 3호관 정자 근처로 배달 부탁드립니다 정확한 위치는 3호관 왼쪽입니다.
자연대 3호관 정자에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 3호관 옆에 있는 정자로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치18,자연대(자연과학대학) 5호관 벤치,"자연대(자연과학대학) 5호관 앞 인도에는 벤치가 설치되어 있습니다.
자연대(자연과학대학) 5호관 정문에서 인도로 나가는 길목에는 벤치가 있어요.
자연대(자연과학대학) 5호관 앞에 위치한 벤치는 학생들이 자주 사용하지 않습니다.
자연대(자연과학대학) 5호관 앞 벤치는 학생들이 많이 지나는 길에 있습니다.","35.845819, 127.130906","자연대 5호관 앞 인도에 있는 벤치로 배달해 주실 수 있나요?
자연대 5호관 정문에서 인도로 나가는 길목의 벤치에서 친구를 만날 예정입니다 여기로 와 주세요.
자연대 5호관 앞에 위치한, 자주 사용되지 않는 벤치로 음식을 배달 부탁드립니다.
자연대 5호관 앞, 학생들이 많이 지나는 길에 있는 벤치에서 손님을 기다릴게요 이곳으로 오시면 됩니다.
자연대 5호관 앞 벤치로 오실 때, 정문 근처를 참고하세요 그곳에서 만나요.
자연대 5호관 앞 인도 벤치에서 잠시 쉬고 있는 사람들 근처에서 기다리고 있을게요 여기로 배달 부탁드립니다.
자연대 5호관 앞 벤치에서 친구를 만나려 합니다 여기로 오실 수 있나요?
자연대 5호관 앞 벤치 근처로 배달 부탁드립니다 정확한 위치는 5호관 앞 인도입니다.
자연대 5호관 앞 벤치에서 손님을 맞이하려고 합니다 이곳으로 와 주실 수 있나요?
배달 도착하시면, 자연대 5호관 앞에 있는 벤치로 오시면 됩니다 여기서 기다리고 있을게요.",
벤치19,중앙도서관 농대(농생대) 쪽 정자,"중앙도서관 앞에 있는 정자는 농대(농생대) 2호관과 가장 가까워요.
중앙도서관 농대(농생대) 쪽 정자는 학생들이 주로 담배를 피우는 곳입니다.
중앙도서관 농대(농생대) 쪽 정자 옆에는 자전거 주차장이 위치해 있습니다.
중앙도서관 앞 정자는 농대(농생대)와 이어지는 지름길을 따라 쉽게 찾을 수 있습니다.","35.848550, 127.131375","중앙도서관 앞 정자에서 배달 서비스를 이용할 수 있나요?
농대 2호관과 중앙도서관 앞 정자 사이에 배달이 가능한가요?
중앙도서관 농대 쪽 정자에서 음식을 주문할 수 있을까요?
농대(농생대) 쪽 정자에서 친구를 기다리고 있는데, 배달 주문을 할 수 있을까요?
중앙도서관 농대(농생대) 쪽 정자에서 손님을 기다리고 있습니다..
중앙도서관 앞 정자에서 친구를 부를 수 있는 위치인가요?
농대(농생대) 2호관과 중앙도서관 앞 정자 사이에서 기다리겠습니다.
중앙도서관 농대 쪽 정자에서 자전거 주차장 근처로 와줘.
중앙도서관 앞 정자에서 배달 서비스를 이용하겠습니다.
농대(농생대) 쪽 정자에서 주문했습니다.",
